agency_id,agency_name,agency_timezone,agency_url
0,default,America/Mexico_City,https://example.com/
1,"AUTOBUSES ESTRELLA DEL NORESTE, S.A. DE C.V.",America/Mexico_City,https://example.com/
2,AUTOBUSES FLECHA BLANCA DE TOLUCA S.A. DE C.V.,America/Mexico_City,https://example.com/
3,AUTOTRANSPORTES URBANOS Y SUBURBANOS CORSARIOS DEL NORTE S.A. DE C.V.,America/Mexico_City,https://example.com/
4,AUTOTRANSPORTES DEL VALLE DE TOLUCA S.A. DE C.V.,America/Mexico_City,https://example.com/
5,LÍNEA DE TURISMOS TOLUCA TENANGO ESTRELLA DE ORO S.A. DE C.V.,America/Mexico_City,https://example.com/
6,"AUTOTRANSPORTES DE PASAJEROS DE SEGUNDA CLASE ALA DE ORO, S.A. DE C.V.",America/Mexico_City,https://example.com/
7,AUTOTRANSPORTES URBANOS Y SUBURBANOS DE LA CIUDAD DE TOLUCA Y ZONA INDUSTRIAL S.A. DE C.V.,America/Mexico_City,https://example.com/
8,AUTOTRANSPORTES TOLUCA CAPULTITLÁN TRIÁNGULO ROJO S.A.DE C.V.,America/Mexico_City,https://example.com/
9,AUTOTRANSPORTES TEMOAYENSES S.A. DE C.V.,America/Mexico_City,https://example.com/
10,RED DE TRANSPORTE PÚBLICO S.A. DE C.V.,America/Mexico_City,https://example.com/
11,"AUTOTRANSPORTES TOLUCA TLACHALOYA Y RAMALES , S.A. DE C.V.",America/Mexico_City,https://example.com/
12,SERVICIO INTERMETROPOLITANO DE TRANSPORTE S.A. DE C.V.,America/Mexico_City,https://example.com/
13,AUTOTRANSPORTES TOLUCA CUATRO CAMINOS S.A. DE C.V.,America/Mexico_City,https://example.com/
14,SERVICIOS URBANOS Y SUBURBANOS XINANTECATL S.A. DE C.V.,America/Mexico_City,https://example.com/
15,TRANSPORTES DE PASAJEROS DE SEGUNDA CLASE FLECHA DE ORO S.A. DE C.V.,America/Mexico_City,https://example.com/
16,TRANSPORTES CRUCERO S.A. DE C.V.,America/Mexico_City,https://example.com/
17,CONCENTRADORA URBANA DE PASAJE S. DE R.L. DE C.V.,America/Mexico_City,https://example.com/
18,AUTOTRANSPORTES CULTURAL DE TOLUCA S.A. DE C.V.,America/Mexico_City,https://example.com/
19,"COMPAÑÍA TRANSPORTISTA DE TOLUCA, S.A DE C.V.",America/Mexico_City,https://example.com/
20,"AUTOTRANSPORTES URBANOS DE TOLUCA Y ZONA CONURBADA, S.A. DE C.V.",America/Mexico_City,https://example.com/
21,"RÁPIDOS DEL VALLE DE TOLUCA, S.A. DE C.V.",America/Mexico_City,https://example.com/
22,"AUTOTRANSPORTES URBANOS Y SUBURBANOS PEGASO DE TOLUCA, S.A. DE C.V.",America/Mexico_City,https://example.com/
23,"AUTOTRANSPORTES 8 DE NOVIEMBRE, S DE R.L. DE C.V.",America/Mexico_City,https://example.com/
24,SISTEMA DE TRANSPORTE URBANO Y SUBURBANO DE LA CIUDAD DE TOLUCA S.A. DE C.V.,America/Mexico_City,https://example.com/
25,"AUTOTRANSPORTES URBANOS Y SUBURBANOS TORRES BICENTENARIO, S.A.DE C.V.",America/Mexico_City,https://example.com/
26,"AUTOTRANSPORTES PRIMERO DE MAYO, S.A. DE C.V.",America/Mexico_City,https://example.com/
27,"AUTOTRANSPORTES SATELITE URBANOS Y SUBURBANOS DE TOLUCA, S.A. DE C.V.",America/Mexico_City,https://example.com/
28,AUTOTRANSPORTES COLÓN NACIONAL S.A. DE C.V.,America/Mexico_City,https://example.com/
29,"TRANSPORTES URBANOS Y SUBURBANOS TOLLOCAN, S.A. DE C.V.",America/Mexico_City,https://example.com/
30,"AUTOTRANSPORTES URBANOS GACELA DE TOLUCA , S.A. DE C.V.",America/Mexico_City,https://example.com/
31,"MULTISERVICIOS DE TRANSPORTACIÓN DE MÉXICO, S.A. DE C.V",America/Mexico_City,https://example.com/
