fare_id,route_id
0,18178778
1,18212710
2,18212712
3,18212716
4,18212734
5,18212736
6,18212738
7,18212742
8,18212744
9,18212798
10,18212802
11,18212806
12,18212813
13,18212821
14,18212846
15,18265941
16,18265943
17,18265983
18,18266002
19,18266011
20,18266023
21,18266067
22,18266070
23,18266131
24,18266173
25,18266201
26,18266208
27,18266214
28,18268019
29,18268072
30,18268107
31,18268117
32,18268120
33,18268133
34,18268136
35,18268140
36,18268144
37,18268152
38,18268203
39,18268365
40,18268510
41,18268545
42,18268559
43,18269212
44,18284841
45,18289699
46,18289706
47,18291869
48,18291925
49,18291941
50,18291951
51,18291954
52,18291959
53,18291963
54,18291965
55,18291971
56,18291974
57,18291977
58,18291998
59,18292019
60,18292021
61,18292060
62,18292175
63,18292226
64,18334498
65,18334502
66,18334522
67,18334536
68,18334552
69,18494467
70,18494515
71,18510029
72,18510108
73,18511109
74,18582498
75,18702473
76,18704711
77,18704717
78,18704763
79,18704775
80,18704787
81,18704821
82,18704854
83,18708785
84,18708963
85,18709005
86,18709039
87,18709052
88,18709057
89,18709064
90,18709204
91,18709212
92,18709213
93,18709218
94,18722171
95,18732694
96,18732705
97,18735441
98,18735457
99,18735466
100,18735497
101,18735536
102,18735566
103,18735575
104,18735597
105,18736621
106,18736638
107,18736640
108,18736641
109,18736642
110,18736662
111,18736694
112,18736695
113,18736703
114,18736934
115,18736999
116,18737003
117,18737050
118,18737087
119,18737153
120,18739303
121,18739338
122,18739350
123,18739358
124,18739365
125,18739378
126,18739379
127,18739380
128,18739383
129,18739384
130,18739385
131,18739386
132,18739396
133,18739397
134,18739416
135,18739425
136,18739431
137,18739433
138,18739435
139,18739441
140,18739443
141,18739445
142,18739446
143,18739457
144,18739458
145,18739465
146,18739470
147,18739473
148,18739474
149,18739475
150,18739483
151,18739502
152,18739503
153,18739505
154,18739516
155,18739518
156,18739519
157,18739527
158,18739528
159,18739535
160,18739537
161,18739547
162,18739557
163,18739561
164,18739624
165,18739673
166,18756034
167,18756038
168,18756044
169,18756184
170,18756212
171,18756216
172,18756218
173,18756221
174,18765970
175,18765971
176,18765983
177,18765988
178,18765996
179,18766238
180,18766349
181,18766356
182,18766357
183,18766358
184,18766365
185,18766368
186,18766369
187,18766373
188,18766376
189,18766377
190,18766381
191,18768312
192,18768324
193,18768395
194,18768446
195,18768725
196,18768791
197,18768803
198,18768823
199,18768889
200,18769524
201,18769527
202,18769548
203,18769577
204,18769580
205,18769581
206,18769589
207,18769593
208,18769626
209,18769641
210,18769647
211,18769649
212,18769664
213,18769670
214,18769675
215,18769686
216,18769687
217,18769689
218,18769693
219,18769698
220,18769705
221,18769707
222,18769713
223,18769725
224,18769798
225,18769803
226,18769840
227,18769842
228,18769849
229,18769861
230,18769875
231,18769885
232,18770036
233,18779546
234,18781276
235,18781288
236,18781310
237,18782084
238,18782085
239,18782088
240,18782104
241,18782127
242,18782137
243,18782420
244,18785813
245,18786512
246,18786516
247,18793997
248,18794003
249,18794052
250,18794130
251,18796176
252,18796179
253,18796182
254,18796193
255,18796202
256,18796207
257,18796212
258,18796213
259,18796214
260,18796215
261,18796219
262,18796220
263,18796222
264,18796223
265,18796224
266,18796226
267,18796227
268,18796228
269,18796233
270,18796234
271,18796241
272,18796243
273,18796244
274,18796245
275,18796246
276,18796247
277,18796248
278,18796250
279,18796251
280,18796252
281,18796253
282,18796254
283,18796264
284,18796267
285,18796282
286,18796283
287,18796291
288,18796294
289,18796301
290,18796307
291,18796308
292,18796312
293,18796325
294,18796327
295,18796329
296,18796332
297,18796334
298,18796342
299,18796372
300,18796407
301,18815999
302,18819389
303,18819586
304,18823412
305,18823464
306,18823543
307,18823559
308,18823899
309,18825286
310,18825302
311,18825516
312,18827294
313,18827306
314,18827318
315,18827321
316,18827377
317,18827386
318,18827432
319,18836846
320,18838435
321,18839451
322,18839598
323,18839607
324,18839794
325,18839833
326,18839904
327,18839951
328,18840028
329,18840226
330,18840370
331,18840408
332,18840447
333,18840448
334,18840449
335,18840539
336,18840584
337,18840585
338,18840589
339,18840621
340,18840622
341,18840623
342,18840853
343,18840864
344,18840908
345,18840917
346,18840953
347,18840954
348,18841006
349,18841007
350,18841013
351,18841014
352,18841019
353,18841100
354,18841117
355,18841218
356,18841295
357,18841308
358,18841309
359,18841318
360,18841338
361,18853746
362,18858644
363,18864539
364,18864603
365,18864665
366,18864804
367,18864836
368,18864927
369,18869176
370,18869177
371,18869179
372,18869183
373,18869206
374,18869212
375,18869328
376,18870107
377,18870163
378,18870262
379,18874306
380,18874432
381,18874474
382,18874864
383,18874884
384,18875061
385,18875182
386,18878036
387,18878072
388,18878108
389,18878110
390,18878114
391,18878117
392,18878119
393,18878123
394,18878126
395,18878134
396,18878138
397,18878146
398,18878152
399,18878155
400,18878159
401,18878160
402,18878161
403,18878164
404,18878166
405,18878167
406,18878169
407,18878171
408,18878173
409,18878176
410,18878179
411,18878181
412,18878183
413,18878186
414,18878187
415,18878191
416,18878193
417,18878194
418,18878202
419,18878204
420,18878205
421,18878211
422,18878212
423,18878213
424,18878216
425,18878224
426,18878225
427,18878234
428,18878236
429,18878246
430,18878247
431,18878252
432,18878258
433,18878268
434,18878271
435,18878279
436,18910283
437,18934075
438,18937710
439,19093687
