route_id,agency_id,route_short_name,route_long_name,route_color,route_type
18178778,0,01-A085-01,01-A085-01 : SAN MIGUEL TOTO → Terminal Toluca,,3
18212710,0,01-A011-07,01-A011-07 : Toluca → Atarasquillo,,3
18212712,0,01-A011-05,01-A011-05 : Toluca → Santa María Tlalmimilolpan,,3
18212716,0,01-A085-04,01-A085-04 : TLACOTEPEC → Toluca CENTRO,,3
18212734,0,01-A011-12,01-A011-12 : Toluca → Cholula,,3
18212736,0,01-A085-02,01-A085-02 : TLACOTEPEC → Terminal Toluca,,3
18212738,0,01-A011-11,01-A011-11 : Toluca → Acazulco,,3
18212742,0,01-A085-05,01-A085-05 : ZARAGOZA → Terminal Toluca,,3
18212744,0,01-A085-06,01-A085-06 : SAN ÁNDRES OCOTLÁN → Terminal Toluca,,3
18212798,0,01-A085-07,01-A085-07 : LA HUERTA → Terminal Toluca,,3
18212802,0,01-A011-19,01-A011-19 : Toluca → San Francisco Xochicuautla,,3
18212806,0,01-A085-08,01-A085-08 : CALIMAYA → Toluca CENTRO,,3
18212813,0,01-A011-09,01-A011-09 : Toluca → El Charco,,3
18212821,0,01-A011-17,01-A011-17 : Xonacatlán → Santa María Tlalmimilolpan,,3
18212846,0,01-A085-03,01-A085-03 : OCOTITLÁN → Terminal Toluca,,3
18265941,1,01-A011-05,01-A011-05 : Toluca → Santa María Tlalmimilolpan,,3
18265943,1,01-A011-04,01-A011-04 : Toluca → Santiago Tianguistenco por Acueducto,,3
18265983,1,01-A011-02,01-A011-02 : Toluca → Santiago Tianguistenco,,3
18266002,1,01-A011-07,01-A011-07 : Toluca → Atarasquillo,,3
18266011,1,01-A011-01,01-A011-01 : Toluca → Santiago Tianguistenco por carretera México-Toluca,,3
18266023,1,01-A011-08,01-A011-08 : Toluca → San Miguel Ameyalco,,3
18266067,1,01-A011-03,01-A011-03 : Toluca → Chalma,,3
18266070,1,01-A011-09,01-A011-09 : Toluca → El Charco,,3
