trip_id,route_id,service_id,shape_id
0,18178778,Mo-Su,18178778
1,18212710,Mo-Su,18212710
2,18212712,Mo-Su,18212712
3,18212716,Mo-Su,18212716
4,18212734,Mo-Su,18212734
5,18212736,Mo-Su,18212736
6,18212738,Mo-Su,18212738
7,18212742,Mo-Su,18212742
8,18212744,Mo-Su,18212744
9,18212798,Mo-Su,18212798
10,18212802,Mo-Su,18212802
11,18212806,Mo-Su,18212806
12,18212813,Mo-Su,18212813
13,18212821,Mo-Su,18212821
14,18212846,Mo-Su,18212846
15,18265941,Mo-Su,18265941
16,18265943,Mo-Su,18265943
17,18265983,Mo-Su,18265983
18,18266002,Mo-Su,18266002
19,18266011,Mo-Su,18266011
20,18266023,Mo-Su,18266023
21,18266067,Mo-Su,18266067
22,18266070,Mo-Su,18266070
23,18266131,Mo-Su,18266131
24,18266173,Mo-Su,18266173
25,18266201,Mo-Su,18266201
26,18266208,Mo-Su,18266208
27,18266214,Mo-Su,18266214
28,18268019,Mo-Su,18268019
29,18268072,Mo-Su,18268072
30,18268107,Mo-Su,18268107
31,18268117,Mo-Su,18268117
32,18268120,Mo-Su,18268120
33,18268133,Mo-Su,18268133
34,18268136,Mo-Su,18268136
35,18268140,Mo-Su,18268140
36,18268144,Mo-Su,18268144
37,18268152,Mo-Su,18268152
38,18268203,Mo-Su,18268203
39,18268365,Mo-Su,18268365
40,18268510,Mo-Su,18268510
41,18268545,Mo-Su,18268545
42,18268559,Mo-Su,18268559
43,18269212,Mo-Su,18269212
44,18284841,Mo-Su,18284841
45,18289699,Mo-Su,18289699
46,18289706,Mo-Su,18289706
47,18291869,Mo-Su,18291869
48,18291925,Mo-Su,18291925
49,18291941,Mo-Su,18291941
50,18291951,Mo-Su,18291951
51,18291954,Mo-Su,18291954
52,18291959,Mo-Su,18291959
53,18291963,Mo-Su,18291963
54,18291965,Mo-Su,18291965
55,18291971,Mo-Su,18291971
56,18291974,Mo-Su,18291974
57,18291977,Mo-Su,18291977
58,18291998,Mo-Su,18291998
59,18292019,Mo-Su,18292019
60,18292021,Mo-Su,18292021
61,18292060,Mo-Su,18292060
62,18292175,Mo-Su,18292175
63,18292226,Mo-Su,18292226
64,18334498,Mo-Su,18334498
65,18334502,Mo-Su,18334502
66,18334522,Mo-Su,18334522
67,18334536,Mo-Su,18334536
68,18334552,Mo-Su,18334552
69,18494467,Mo-Su,18494467
70,18494515,Mo-Su,18494515
71,18510029,Mo-Su,18510029
72,18510108,Mo-Su,18510108
73,18511109,Mo-Su,18511109
74,18582498,Mo-Su,18582498
75,18702473,Mo-Su,18702473
76,18704711,Mo-Su,18704711
77,18704717,Mo-Su,18704717
78,18704763,Mo-Su,18704763
79,18704775,Mo-Su,18704775
80,18704787,Mo-Su,18704787
81,18704821,Mo-Su,18704821
82,18704854,Mo-Su,18704854
83,18708785,Mo-Su,18708785
84,18708963,Mo-Su,18708963
85,18709005,Mo-Su,18709005
86,18709039,Mo-Su,18709039
87,18709052,Mo-Su,18709052
88,18709057,Mo-Su,18709057
89,18709064,Mo-Su,18709064
90,18709204,Mo-Su,18709204
91,18709212,Mo-Su,18709212
92,18709213,Mo-Su,18709213
93,18709218,Mo-Su,18709218
94,18722171,Mo-Su,18722171
95,18732694,Mo-Su,18732694
96,18732705,Mo-Su,18732705
97,18735441,Mo-Su,18735441
98,18735457,Mo-Su,18735457
99,18735466,Mo-Su,18735466
100,18735497,Mo-Su,18735497
101,18735536,Mo-Su,18735536
102,18735566,Mo-Su,18735566
103,18735575,Mo-Su,18735575
104,18735597,Mo-Su,18735597
105,18736621,Mo-Su,18736621
106,18736638,Mo-Su,18736638
107,18736640,Mo-Su,18736640
108,18736641,Mo-Su,18736641
109,18736642,Mo-Su,18736642
110,18736662,Mo-Su,18736662
