trip_id,stop_sequence,stop_id,arrival_time,departure_time,timepoint
0,0,6610401773,00:00:00,00:00:00,0
0,1,6610401768,00:00:08,00:00:08,0
0,2,6610401761,00:00:17,00:00:17,0
0,3,6610427407,00:00:27,00:00:27,0
0,4,6610220777,00:00:35,00:00:35,0
0,5,6610220769,00:00:45,00:00:45,0
0,6,6321421234,00:00:54,00:00:54,0
0,7,2985466472,00:01:03,00:01:03,0
0,8,6806145167,00:01:13,00:01:13,0
0,9,2985467476,00:01:23,00:01:23,0
0,10,3219340906,00:01:31,00:01:31,0
0,11,2985461746,00:01:43,00:01:43,0
0,12,6806145183,00:01:53,00:01:53,0
0,13,8506149608,00:02:02,00:02:02,0
0,14,6321448862,00:02:11,00:02:11,0
0,15,8506149609,00:02:21,00:02:21,0
0,16,6321448865,00:02:49,00:02:49,0
0,17,8503434888,00:02:58,00:02:58,0
0,18,1658612902,00:03:09,00:03:09,0
0,19,8506437102,00:03:21,00:03:21,0
0,20,2000658038,00:03:29,00:03:29,0
0,21,2975115635,00:03:44,00:03:44,0
0,22,2002147333,00:03:54,00:03:54,0
0,23,2002147309,00:04:06,00:04:06,0
0,24,8431267578,00:04:22,00:04:22,0
0,25,1408202176,00:04:35,00:04:35,0
0,26,2003530962,00:04:45,00:04:45,0
0,27,2003530961,00:04:53,00:04:53,0
0,28,2945134676,00:05:04,00:05:04,0
0,29,2133351778,00:05:15,00:05:15,0
0,30,2958012125,00:05:23,00:05:23,0
0,31,8430899789,00:05:31,00:05:31,0
0,32,2133351776,00:05:41,00:05:41,0
0,33,2944908689,00:05:49,00:05:49,0
0,34,2003530953,00:06:02,00:06:02,0
0,35,2003530930,00:06:19,00:06:19,0
0,36,2117501641,00:06:29,00:06:29,0
0,37,1659438957,00:06:38,00:06:38,0
0,38,2003822083,00:06:48,00:06:48,0
0,39,2003822084,00:06:56,00:06:56,0
0,40,8495661799,00:07:02,00:07:02,0
1,0,8496402090,00:00:00,00:00:00,0
1,1,2117501652,00:00:10,00:00:10,0
1,2,2117501656,00:00:19,00:00:19,0
1,3,2003822104,00:00:34,00:00:34,0
1,4,2003822093,00:00:45,00:00:45,0
1,5,8496895024,00:00:55,00:00:55,0
1,6,6610158746,00:01:06,00:01:06,0
1,7,2133351776,00:01:18,00:01:18,0
1,8,8430805394,00:01:27,00:01:27,0
1,9,2958012125,00:01:36,00:01:36,0
1,10,2133351778,00:01:44,00:01:44,0
1,11,2945134676,00:01:55,00:01:55,0
1,12,2003530961,00:02:06,00:02:06,0
1,13,1408202174,00:02:17,00:02:17,0
1,14,1408202173,00:02:22,00:02:22,0
1,15,2107182062,00:02:30,00:02:30,0
1,16,2002147291,00:02:43,00:02:43,0
1,17,2002147302,00:02:51,00:02:51,0
1,18,2002147328,00:03:03,00:03:03,0
1,19,2002147349,00:03:11,00:03:11,0
1,20,2000658036,00:03:29,00:03:29,0
1,21,2002147361,00:03:38,00:03:38,0
1,22,6806203586,00:03:47,00:03:47,0
1,23,2002147362,00:04:03,00:04:03,0
1,24,1658616557,00:04:15,00:04:15,0
1,25,1658616556,00:04:27,00:04:27,0
1,26,6806186985,00:04:34,00:04:34,0
1,27,3219340912,00:04:45,00:04:45,0
1,28,8503434861,00:04:57,00:04:57,0
1,29,2985467472,00:05:08,00:05:08,0
1,30,2985466468,00:05:18,00:05:18,0
1,31,8506212549,00:05:26,00:05:26,0
1,32,6321421235,00:05:35,00:05:35,0
1,33,6321421239,00:05:42,00:05:42,0
1,34,6610220782,00:05:52,00:05:52,0
1,35,6321421240,00:06:08,00:06:08,0
1,36,6610401777,00:06:15,00:06:15,0
1,37,6610427390,00:06:25,00:06:25,0
1,38,6610427391,00:06:31,00:06:31,0
2,0,4473510099,00:00:00,00:00:00,0
2,1,3629488880,00:00:15,00:00:15,0
2,2,4473509979,00:00:25,00:00:25,0
2,3,7812179231,00:00:35,00:00:35,0
2,4,6845494930,00:00:45,00:00:45,0
2,5,7812179233,00:00:56,00:00:56,0
2,6,4473509954,00:01:07,00:01:07,0
2,7,6935188181,00:01:19,00:01:19,0
2,8,7812179234,00:01:39,00:01:39,0
2,9,7812179235,00:01:47,00:01:47,0
2,10,3629489048,00:02:02,00:02:02,0
2,11,7812179236,00:02:12,00:02:12,0
2,12,3629488887,00:02:23,00:02:23,0
2,13,7812179237,00:02:34,00:02:34,0
2,14,7896773146,00:02:43,00:02:43,0
2,15,7812179238,00:02:51,00:02:51,0
2,16,7896773145,00:03:08,00:03:08,0
2,17,7896773144,00:03:16,00:03:16,0
2,18,7896773143,00:03:27,00:03:27,0
2,19,7896773142,00:03:37,00:03:37,0
2,20,7896773140,00:03:53,00:03:53,0
2,21,7896773141,00:04:03,00:04:03,0
2,22,3629489020,00:04:20,00:04:20,0
2,23,3629488890,00:04:35,00:04:35,0
2,24,8510055925,00:04:54,00:04:54,0
2,25,3629488891,00:05:06,00:05:06,0
2,26,8510061512,00:05:14,00:05:14,0
2,27,3629488892,00:05:45,00:05:45,0
2,28,8510236237,00:06:00,00:06:00,0
2,29,8510055924,00:06:08,00:06:08,0
2,30,3629488993,00:06:21,00:06:21,0
2,31,3629488994,00:06:44,00:06:44,0
2,32,3629488995,00:06:59,00:06:59,0
2,33,3629488996,00:07:30,00:07:30,0
2,34,6610385762,00:08:00,00:08:00,0
2,35,3629488997,00:08:16,00:08:16,0
2,36,3629488998,00:08:34,00:08:34,0
2,37,8444430898,00:08:45,00:08:45,0
2,38,4463804814,00:09:32,00:09:32,0
2,39,1262237337,00:09:49,00:09:49,0
