route_id,agency_id,route_short_name,route_long_name,route_color,route_type
15257790,0,VME,Amarilla - Issste - Fovissste,fbe51d,3
15489318,0,DCI,Amarilla - Infonavit - Central,fbe51d,3
15489347,0,WWJ,Amarilla - Central - Infonavit,fbe51d,3
15489349,0,GKM,Amarilla - Issste - Vista Hermosa,fbe51d,3
15489350,1,GRC,Roja y Azul - Nicolás Romero - Tres Cruces,009fff,3
15489351,1,BBJ,Roja y Azul - Las Canoas - Nicolás Romero,009fff,3
15489352,2,WPA,Azul - Zitácuaro - Puente de San Miguel (por Moctezuma),0000ff,3
15489359,0,UCK,Amarilla - Vista Hermosa - Infonavit,fbe51d,3
15489361,0,NCE,Amarilla - Central - Infonavit - Alberca,fbe51d,3
15489363,1,VJT,Roja y Azul - Tres Cruces - Nicolás Romero,009fff,3
15489370,2,FZH,Azul - Las Peras - Zitácuaro,0000ff,3
15489371,2,MSF,Azul - Zitácuaro - Pedregal,0000ff,3
15489373,2,WET,Azul - Zitácuaro - Rincón de Ahorcados,0000ff,3
15489374,2,CZJ,Azul - Rincón de Ahorcados - Zitácuaro,0000ff,3
15489384,2,DWW,Azul - Rincón de Ex-Hacienda - Zitácuaro,0000ff,3
15489386,2,UWW,Azul - Zitácuaro - Las Peras,0000ff,3
15489390,0,GNW,Amarilla - Alberca - Infonavit - Central,fbe51d,3
15489397,2,LEF,Azul - Seis Palos - Zitácuaro,0000ff,3
15489423,3,UQO,Blanca - Zitácuaro - Mesa de Cedano (La Palma),8891ab,3
15489428,4,GDN,Morada - Zaragoza - UPN,6409bc,3
15489440,1,YXM,Roja y Azul - Nicolás Romero - Campamento,009fff,3
15489443,2,GRI,Azul - Zitácuaro - Rincón de Ex-Hacienda,0000ff,3
15489552,2,DXE,Azul - Zitácuaro - Copándaro,0000ff,3
15489561,5,HOV,Rojo y Negro - Zitácuaro - Rincón de San Felipe,2e2a2a,3
15489589,5,GUO,Rojo y Negro - Rincón de San Felipe - Zitácuaro,2e2a2a,3
15503952,6,MHN,Verde - Zitácuaro - Puerto Azul (Rincón de Corungueo),3ba63b,3
15503971,2,FVO,Azul - Zitácuaro - Seis Palos,0000ff,3
15503978,1,SVP,Roja y Azul - Campamento - Nicolás Romero,009fff,3
15504024,2,DTK,Azul - Copándaro - Zitácuaro,0000ff,3
15504053,2,TEP,Azul - Pedregal - Zitácuaro,0000ff,3
15504060,2,TMP,Azul - Zitácuaro - La Pera,0000ff,3
15504152,2,RTZ,Azul - La Pera - Zitácuaro,0000ff,3
15504158,2,NSC,Azul - Zitácuaro - Landeros,0000ff,3
15504695,2,DDN,Azul - Landeros - Zitácuaro,0000ff,3
15506144,2,HSV,Azul - La Palma - Zitácuaro,0000ff,3
15506192,2,XBR,Azul - Zitácuaro - La Palma,0000ff,3
15506193,2,OZG,Azul - Susupuato - Los Hoyos - El Tanque - Zitácuaro,0000ff,3
15506215,3,LEI,Blanca - Zitácuaro - Mesa de Cedano (Hotel El Dorado),8891ab,3
15506717,2,MSU,Azul - Zitácuaro - Salesiano-Hucaz,0000ff,3
15506718,2,TZP,Azul - Salesiano-Hucaz - Zitácuaro,0000ff,3
15506722,2,NJS,Azul - Puente de San Miguel (por Moctezuma) - Zitácuaro,0000ff,3
